Alloys (compostion);Tg(K);Tx(K);Tl(K);Dmax (mm)
Ti 31.4 Cu43.8 Ni8.8 Zr7.6 Hf 8.4;683;726;1185;4
Ti40 Cu30 Pd20 Zr10;687;747;1279;3
Ag30.8 Mg30.8 Ca30.8 Cu7.7;407;427;809;2
Ag38.4 Mg38.4 Ca23.2;391;425;796;1.1
Ag38.5 Mg30.8 Ca23.1 Cu7.7;387;420;833;3
Ag46.2 Ca30.5 Mg15.4 Cu7.7;414;445;805;0.8
Ag46.2 Ca38.4 Mg15.3;407;439;809;0.3
Ag46.2 Mg30.7 Ca23.1;393;427;880;0.5
Ag50 Ca30.8 Mg19.2 Cu7.7;426;466;797;1.2
Ag53.8 Mg15.4 Ca23.1 Cu7.7;433;463;831;0.5
Ag53.8 Mg23.1 Ca15.4 Cu7.7;407;463;877;0.5
Ag 61.5 Ca23.1 Mg15.4;486;526;920;0.7
Au46 Cu29 Si20 Ag5;395;420;664;1
Au 52 Cu29.2 Si 16.5 Pd 2.3;393;427;651;2
Ca40 Cu35 Mg25;399;436;680;4
Nd61 Al11 Ni8 Co5 Cu15;445;469;744;6
Ca45 Cu30 Mg25;400;438;678;6
Ca45 Mg30 Cu25;401;436;717;1
Ca47.5 Cu30 Mg 22.5;399;440;673;6
Ca50 Cu25 Mg20 Zn5;399;441;654;10
Ca50 Cu27.5 Mg22.5;400;442;663;10
Ca50 Cu20 Al10 Mg20;411;441;731;1
Ca50 Mg25 Cu25;400;439;655;9
Ca50 Mg30 Cu20;402;439;731;2
Ca55 Cu23 Mg11 Zn11;379;430;717;1
Ca55 Cu30 Mg15;397;437;706;3
Ca55 Mg25 Cu30;398;428;668;8
Ca55 Zn25 Mg20;383;428;702;2
Ca55 Mg20 Al15 Zn10;421;477;806;2
Ca55 Mg20 Al19 Zn6;448;484;745;1.5
Ca55 Zn30 Mg15;387;419;696;0.5
Ca60 Al30 Ag10;483;531;868;2
Ca60 Mg20 Zn20;378;415;660;4
Ca60 Mg25 Zn15;377;409;744;1
Ca60 Zn25 Mg15;379;427;650;6
Ca60 Cu25 Mg15;396;428;678;1
Ca62.5 Zn20 Mg17.5;375;412;640;10
Ca60 Mg20 Al10 Zn10;403;449;746;6
Ca60 Mg9 Al11Cu20;401;450;755;2
Ca60 Mg15 Cu25;396;428;687;1
Ca60 Mg13 Cu27;394;426;701;1
Ca65 Cu20 Mg15;383;409;682;4
Ca65 Cu30 Mg5;403;424;757;0.5
Ca65 Mg20 Zn15;380;405;668;5
Ca65 Mg25 Zn10;387;405;759;0.5
Ca65 Zn25 Mg10;377;412;659;2
Ca70 Cu20 Mg10;385;407;713;1
Ca70 Mg20 Cu10;356;385;702;0.5
Ce70 Ga10 Cu20;367;425;685;10
Ce70 Ga11 Cu19;375;422;648;8
Ce70 Al10 Cu20;341;408;722;2
;;;;
Ce70 Ga12 Cu18;386;418;681;8
Ce70 Al10 Ni10 Cu10;359;377;714;3
Ce65 Al10 Ni10 Cu10 Nb5;359;384;702;5
Ce65 Al12.5 Ni12.5 Cu10;371;402;709;3
(Ce60 La40)65 Co25 Al10;425;448;789;12
Co40 Fe27 B24 Zr3 Ti3 Mo1.5 Si1.5;811;856;1379;1.5
Co48Cr15C15Mo14B6 Er2;848;933;1394;10
[(Co60 Fe40)75 B20 Si5]96 Nb4;823;865;1418;4
[(Co80 Fe20)75 B20 Si5]96 Nb4;813;853;1445;2.5
Cu33.3 Mg33.3 Ca33.3;391;406;731;3
Cu36 Zr36 Al8 Ag8;670;771;1146;25
Cu36.4 Mg31.8 Ca31.8;388;400;742;8
Cu38 Zr38 Al8 Ag8;690;784;1148;20
Cu40 Zr30 Ag20 Ti10;677;708;1125;3
Cu40.9 Ca31.8 Mg27.3;391;430;745;4
Cu40.9 Ca40.9 Mg18.2;393;431;717;3
Cu40.9 Mg36.4 Ca22.7;394;414;821;1.5
Cu42 Zr42 Ag16;685;757;1232;2
Cu43 Zr40 Ti10 Ag7;656;707;1095;7
Cu43 Zr43 Ag7 Ti7;670;714;1118;5
Cu43 Zr43 Al7 Be7;710;813;1126;12
Cu44 Zr44 Ag12;684;764;1156;4
Cu45 Ca30 Mg25;387;430;798;2.5
Cu45 Zr25 Ag10 Hf20;698;783;1218;3
Cu45 Zr30 Ag15 Ti10;687;717;1121;5
Cu45 Zr45 Ag10;683;756;1159;6
Cu45 Zr45 Ag5 Al5;697;783;1147;9
Cu45.5 Ca31.8 Mg22.7;388;427;793;3
Cu45.5 Mg27.3 Ca27.2;395;410;831;1.5
Cu45.5 Mg36.4 Ca18.1;391;420;851;2
Cu46 Zr42 Al7 Y5;672;772;1113;10
Cu46 Zr46 Ag8;677;745;1167;4
Cu46 Zr47 Al7;705;781;1163;3
Cu50 Hf45 Al5;763;854;1250;2
Cu47 Zr30 Ni13 Ti10;727;754;1251;1
Cu47 Ti33 Zr11 Ni8 Si1;720;757;1157;4
Cu47 Ti33 Nb8 Ni8 Zr3 Si1;708;731;1228;1
Cu47 Ti33 Ni8 Zr7 Nb4 Si1;713;736;1172;5
Cu47 Ti34 Zr11 Ni8;698;727;1169;4.5
Cu47 Zr43 Al7 Be3;715;798;1139;6
Cu48 Zr48 Al4;410;470;918;2
Cu49 Zr36 Ag10 Ti5;691;737;1130;8
Cu50 Ca31.8 Mg18.2;392;421;828;2
Cu50 Zr42.5 Ti7.5;677;717;1152;5
(Cu50 Zr42.5 Ti7.5)99 Si1;683;731;1141;6
Cu50 Zr43 Al7;713;781;1205;10
(Cu50 Zr43 Al7)98.5 Si1.5;737;798;1243;4
(Cu50 Zr43 Al7)99.5 Si0.5;719;791;1214;10
Cu40 Zr44 Al8 Ag8;702;772;1166;15
Cu52.5 Zr40 Ga7.5;744;777;1218;1.5
Cu54 Zr33 Ag6 Ti7;709;738;1135;6
Cu54.5 Ca27.3 Mg18.2;401;423;884;1
Cu55 Zr30 Ti10 Ag5;704;733;1149;3
Cu55 Zr40 Ga5;736;779;1193;2
Cu57.5 Zr37.5 Ga5;745;785;1241;1
Cu60 Hf20 Ti20;740;767;1211;4
Cu42.5 Zr40 Ga7.5;744;777;1218;1.5
(Cu60 Hf25 Ti15)92 Nb8;745;783;1198;2.5
(Cu60 Hf25 Ti15)96 Nb4;747;789;1188;4
Cu60 Ti22.5 Hf17.5;732;755;1229;3
(Cu60 Zr30 Ti10)90 Be10;720;762;1130;5
(Cu60 Zr30 Ti10)99 Sn1;730;776;1155;5
Cu64 Zr36;787;833;1230;2
Fe25 Co25 Ni25(P40 Si30 B20 C10)25;725;758;1264;1
Fe25 Co25 Ni25 (P40 C20 B20 Si20)25;705;745;1233;2
Fe25 Co25 Ni25 (P50 B20 Si20 C10)25;707;746;1227;2
Fe39 Cr15 C15 Mo14 Co9 B6 Y2;838;888;1466;10
Fe40 Co35 P10 C10 B5;704;760;1267;2
Fe41 Cr15 C15 Mo14 Co7 B6 Y2;838;875;1436;16
Fe43 Cr15 Mo14 C15 B6 Co5 Y2;835;872;1442;9
Fe45 Cr15 Mo14 C15 B6 Co3 Y2;834;880;1446;8
Fe46 Co30 Mo4(P45 C20 B20 Si15)20;734;775;1233;3
Fe48 Cr15 C15 Mo14 B6 Y2;839;886;1464;7
[(Fe50 Co50)72 B24 Mo4]94 Dy6;831;912;1365;2
Fe55.8 B24 Co14.2 Nb6;821;868;1477;2
Fe56 Co20 Mo4(P0.45 C0.2 B0.2 Si0.15)20;736;778;1220;5
Fe56.05 B25 Co13.45 Nb5.5;821;879;1510;2.5
Fe58 B22 Co14 Y6;880;925;1485;2.5
Fe60 B22 Co12 Y6;881;924;1498;2.5
[(Fe60 Co40)75 B20 Si5]94 Nb4 Gd2;833;894;1452;1.5
{[(Fe60 Co40)75 B20 Si5]96 Nb4}96 Cr4;833;874;1481;3
{[(Fe60 Co40)75 B20 Si5]96 Nb4}98 Cr2;830;873;1469;4
[(Fe60 Co40)75 B20 Si5]94 Nb4 Y2;833;891;1432;1.5
[(Fe60 Co40)75 B20 Si5]95 Nb4 Y1;826;882;1410;1.5
[(Fe60 Co40)75 B20 Si5]96 Nb4;821;860;1421;1.5
Fe61 B15 Mo7 Zr8 Co6 Y2 Al1;900;956;1495;5
Fe62 B22 Co10 Y6;885;932;1503;2.5
Fe64 B22 Co8 Y6;884;927;1505;2.5
Fe66 B22 Co6 Y6;887;925;1509;2
Fe66 Co10 Mo4(P45 C20 B20 Si15)20;744;788;1221;6
Fe67 B22 Y6 Ni5;866;891;1469;1
Fe68.3 P8.8 C6.9 B6.7 Mo2.5 Si2.5 Cr2.2 Al2.1;795;835;1316;4
Fe68 B22 Y6 Mo4;915;944;1488;6.5
Fe68 B22 Y6 W4;874;971;1504;4
Fe69 B22 Y6 Mo3;908;958;1488;6
Fe69 B22 Y6 W3;868;973;1505;4
Fe70 B16.67 Si8.33 Hf5;861;901;1543;1
Fe70 B22 Y6 Co2;898;944;1420;2
Fe70 B22 Y6 Ni2;880;925;1509;2
[(Fe70 Co30)72 B24 Mo4]94 Dy6;845;929;1367;2
(Fe70 Tb5 Si5 B20)96 Nb4;935;995;1396;3.5
Fe71 P12 C10 Mo3 Nb2 B2;724;766;1305;1
Fe71 B22 Y6 Mo1;902;960;1517;2.5
Fe71 B22 Y6 W1;845;956;1423;3
(Fe71 B24 Er5)96 Nb4;868;964;1463;5.5
(Fe71 B24 Ho5)96 Nb4;866;967;1467;5
(Fe71 B24 Tm5)96 Nb4;868;936;1396;6.5
Fe71 P12 C10 Mo4 Nb1B2;729;777;1296;2
Fe71.67 B16.67 Si8.33 Hf3.33;854;887;1467;2
Fe72 P8.7 C7 B5 Ga4 Si3.3;782;801;1290;2
(Fe72 B20 Nb4 Si4)97 Y3;859;915;1416;4
(Fe72 B20 Nb4 Si4)99 Y1;855;881;1419;2
(Fe72 B22 Y6)98 Nb2;918;980;1412;4
(Fe72 B22 Y6)98 Ti2;915;974;1416;3
(Fe72 B24 Mo4)94 Dy6;854;945;1400;3
(Fe72 B24 Mo4)96 Dy4;848;923;1396;2
Fe72 B20 Nb4 Si4;842;880;1420;2
(Fe72 Si5 Tb3 B2)96 Nb4;860;940;1422;3
Fe72.8 B16 Si8 Zr3.2;850;883;1472;2
Fe73 B20 Nb4 Hf3;836;899;1448;2
Fe73.33 B16.67 Si8.33 Hf1.67;840;872;1486;1
Fe74 P8.7 C7 Si3.3 B5 Ga2;784;800;1283;3
Fe74 P10 Mo4 C4 B4 Ga2 Si2;740;790;1276;1.5
Fe74 B17 Nb6 Y3;831;879;1391;2
Fe75 P8.7 C7 B5 Si3.3 Ga1;781;794;1282;3
(Fe75 B15 Si10)96 Nb4;835;885;1369;1.5
(Fe75 B15 Si10)99 Nb1;815;858;1455;0.5
(Fe75 B2 Si5)96 Nb4;835;880;1475;1.5
Fe75 P9 C7 Cr5B4;733;766;1300;2
Fe75 P10 C4 B4 Mo4 Si3;752;799;1227;4
Fe76 P10 C4 B4 Mo2 Ga2 Si2;736;788;1247;2
Fe76 Mo4(P45 C20 B20 Si15)20;744;788;1245;4
Fe76.55 B13.79 Si6.9 Zr2.76;830;852;1505;1
Fe78 Cr2 P9 C9 B2;703;736;1275;1.8
Fe79 P10 C4 B4 Si3;740;774;1263;1
[(Fe80 Co20)72 B24 Mo4]94 Dy6;852;944;1370;3
Fe80 P9 C9 B2;700;733;1270;1.8
(Fe81.5 C14 Si3.8 Tm0.7)92.37 P7.63;687;752;1284;1
[(Fe90 Co10)75 B20 Si5]96 Nb4;832;877;1460;2
Gd60 Al25 Ni15;603;648;1006;4
Hf47 Cu29.25 Al14 Ni9.75;790;875;1278;10
Hf51 Cu27.75 Al12 Ni9.25;777;872;1344;8
(La0.6 Ce0.4)65 Al10 Co25;437;467;835;20
(La0.7 Ce0.3)65 Al10 Co25;437;472;850;25
(La0.8 Ce0.2)65 Al10 Co25;439;476;869;12
La32 Ce32 Al16 Cu12 Ni5 Co3;406;455;709;10
La32 Ce32 Al16 Co10 Ni5 Cu5;424;472;767;10
(La50 Ce50)65 Co25 Al10;427;453;776;15
La55 Cu20 Al15 Ag10;416;483;787;2
La55 Cu20 Al20 Ag5;429;503;823;4
La55 Al25 Cu20;456;495;896;3
La55 Al25 Ni20;491;555;941;3
"La56.5 (Cu,Ni)25.6 Al17.9";433;492;823;2
"La58.6 (Cu,Ni)24.4 Al17.0";421;489;774;5
(La60 Ce40)65 Co25 Al10;437;467;835;20
"La60.5 (Cu,Ni) 23.2 Al16.3";414;465;734;8
"La62 (Cu,Ni)22.4 Al15.6";410;453;712;11
La62 Al14(Cu50 Ni50)24;423;452;744;12
La62 Al14(Cu83 Ag17)14(Ni50 Co50)10;418;491;703;20
La62 Al14(Cu83 Ag17)20(Ni50 Co50)4;412;472;713;16
La62 Cu16 Al14 Ag8;407;458;744;5
La62 Cu18 Al14 Ag6;406;457;736;5
La62 Cu20 Al14 Ag4;404;456;729;8
La62 Cu24 Al10.5 Mg3.5;386;431;712;10
La62 Cu24 Al14;401;449;734;5
La62.5 Cu15 Al12.5 Ag5 Co5;397;474;700;9
La62.5 Cu17.5 Al12.5 Ag5 Co2.5;393;473;712;8
La62.5 Cu20 Al12.5 Ag5;389;472;721;6
"La64.6 (Cu,Ni)20.8 Al14.6";406;442;706;5
"La66 (Cu,Ni)20 Al14";405;431;674;1.5
"La68 (Cu,Ni)18.8 Al13.2";400;426;743;1
(La70 Ce30)65 Co25 Al10;437;472;850;25
"La70(Cu,Ni)17.6 Al12.4";397;418;759;0.5
Mg50 Ni30 La20;453;510;841;1
Mg57 Cu31.5 Y8 Nd3.5;426;501;778;12
Mg57 Ni26 La17;454;499;831;2
Mg58.5 Cu30.5 Y11;422;496;762;9
Mg60 Ni20 La20;458;485;851;0.2
Mg60 Ni23.6 La15.4 Y1;454;491;827;3
Mg60 Ni23.6 La15.75 Y0.5 Si0.5;457;490;824;1
Mg60 Ni23.6 La15.9 B0.5;454;493;824;2
Mg60 Ni23.6 La15.9 Y0.25 Si0.25;456;492;824;2
Mg60 Ni23.6 La16.15 Si0.25;453;492;826;1
Mg60 Ni23.6 La16.4;450;490;819;2.5
Mg61 Cu28 Gd11;422;483;737;12
Mg61.5 Cu29.5 Gd9;433;472;785;4
Mg63 Cu27 Gd10;418;481;755;4
Mg64.5 Cu24.5 Gd11;413;472;739;6
Mg65 Cu15 Ag10 Gd10;416;459;686;7.5
Mg65 Cu15 Ag10 Gd6 Y4;424;467;682;8
Mg65 Cu20 Gd10 Ni5;420;481;786;5
Mg65 Cu25 Er10;422;480;766;3
Mg65 Cu25 Gd5 Y5;413;486;755;5
Mg65 Cu25 Nd10;423;456;744;1
Mg65 Cu25 Y10;425;479;771;7
Mg65 Y7.5 Cu7.5 Ni7.5 Ag5 Zn5 Gd2.5;433;473;735;9.5
Mg65 Gd7.5 Cu7.5 Ni7.5 Ag5 Zn5 Y2.5;438;474;719;13
Mg65 Ni20 La15;451;480;812;0.5
Mg65.5 Cu25.4 Gd9;411;457;741;6
Mg65 Cu25 Sm10;418;470;723;5
Mg69 La16 Ni15;455;481;800;1
Mg69 Ni18 La13;449;478;797;0.5
Mg70 Ni15 Gd10 Ag5;450;479;764;5
Mg70 Ni20 La10;447;475;791;0.4
Mg90 Ni5 Nd5;426;449;919;0.1
Mg71 Ni15 Gd10 Ag4;440;485;774;4
Mg74 Ni15 Gd10 Ag1;442;483;791;3
Mg75 Ni15 Nd10;450;470;790;2.8
Ni42 Pd31 S27;430;457;756;1.5
Ni42 Zr21.5 Ti20 Al8 Cu5 Si3.5;774;846;1366;2.5
Ni42 Zr22.5 Ti20 Al8 Cu5 Si2.5;767;833;1367;2
Ni59 Zr20 Ti16 Si2 Sn3;821;877;1272;3
Ni59 Zr20 Ti16 Sn5;819;854;1288;1
Ni60 Nb20 Zr20;853;891;1391;0.5
Ni60 Nb30 Ta10;934;961;1559;2
Ni60 Nb35 Zr5;887;911;1458;1.5
Ni60 Zr20 Ti2.5 Nb12.5 Al5;836;897;1378;2
Ni60 Zr20 Ti7.5 Nb7.5 Al5;824;885;1385;2
Ni61 Zr28 Nb7 Al4;848;898;1348;1
(Ni75 B20 Si5)96 Nb4;770;795;1446;0.5
[(Ni90 Fe10)75 B20 Si5]96 Nb4;762;795;1408;1
Pd37 Ni37 S26;426;449;731;2
Pd40 Cu30 P20 Ni10;577;656;836;72
Pd71.5 Si16.5 Cu12;652;680;1154;2
Pd77.5 Si16.5 Cu6;637;678;1058;1.5
Pd79 Si10 P5 Cu2 Ag4;611;676;1006;7
Pd79 Si10 P5 Cu4 Ag2;613;684;1005;5
Pd79 Si10 P5 Cu6;609;682;995;5
Pd81.5 Si16.5 Cu2;633;670;1097;2
"Pr72 (Cu,Ni)21 Al7";395;410;760;1.5
;;;;
Zr42 Cu36 Al8 Ag8 Nb6;715;755;1218;4
Zr42 Cu36 Al8 Ag8 Pd6;709;796;1155;20
Zr44 Cu36 Al8 Ag8 Au4;713;806;1153;20
Zr44 Cu36 Al8 Ag8 Hf4;694;795;1155;20
Zr44 Cu36 Al8 Ag8 Ni4;693;788;1129;30
Zr44 Cu36 Al8 Ag8 Ti4;700;738;1181;9
Zr45 Ni34 Ti21;642;683;1134;0.7
Zr46 Cu36 Al8 Ag8 Au2;705;799;1153;20
Zr46 Cu36 Al8 Ag8 Hf2;692;794;1147;20
Zr46 Cu36 Al8 Ag8 Ni2;687;797;1131;25
Zr46 Cu36 Al8 Ag8 Ti2;696;750;1145;10
Zr47 Cu46 Al7;705;781;1163;3
Zr48 Be24 Cu12 Fe8 Nb8;658;751;1071;8
Zr48 Cu36 Ag13 Al3;690;753;1169;4.5
Zr48 Cu36 Al9 Ag7;710;776;1151;10.4
Zr48 Cu40 Al4 Ag8;411;483;856;9
Zr48 Cu42 Al7 Ag3;700;763;1135;10
Zr48 Cu45 Al4 Ga3;430;490;901;5
Zr48 Cu46.5 Al4 Nb1.5;414;471;908;5
Zr48 Cu47.5 Al4 Fe0.5;419;470;921;3
Zr48 Cu47.5 Al4 V0.5;422;474;919;2
Zr49 Ni20 Cu17 Ti14;625;674;1095;4
(Zr50 Cu38 Al10 Ti2)95 Y5;664;721;1145;6
(Zr50 Cu38 Al10 Ti2)98 Y2;671;739;1148;20
Zr50.7 Cu28 Al12.3 Ni9;719;780;1158;7
Zr50 Cu38 Ag12;663;734;1187;4
Zr50 Cu40 Ag10;667;733;1177;5
Zr50 Cu45 Ag5;669;728;1188;4
Zr51 Cu20.7 Al16.3 Ni12;722;800;1132;3
Zr52 Co32 Al16;770;824;1256;3
Zr53 Co31 Al16;763;812;1257;5
Zr54 Co30 Al16;757;806;1258;6
Zr55 Al2 Co2 Cu5;737;815;1285;5
(Zr55 Al20 Co20 Cu5)95 Ag5;747;806;1220;16
(Zr55 Al20 Co20 Cu5)99 Ag1;739;813;1275;10
Zr55 Co29 Al16;750;799;1258;7
Zr56 Co21 Al16 Cu7;748;794;1245;1
Zr56 Co23 Al16 Cu5;750;808;1244;1.5
Zr57 Co27 Al16;735;787;1260;5
Zr60 Cu10 Al15 Ni15;690;794;1225;18
Zr60 Cu5 Al15 Ni20;699;793;1236;15
Zr60 Cu0 Al15 Ni25;694;787;1291;15
Zr58 Co26 Al16;729;780;1282;2
(Zr62 Cu23 Al10 Fe5)93 Ag7;664;751;1191;4
(Zr62 Cu23 Al10 Fe5)97 Ag3;658;743;1181;10
Zr62 Cu23 Al10 Fe5;651;751;1186;3
Zr63 Ni16.3 Al11.4 Cu9.3;663;732;1164;6.5
Zr64 Ni14.2 Cu11.7 Al10.1;658;717;1159;5
Zr65 Cu17.5 Ni10 Al7.5;657;736;1168;16
Zr70 Cu11 Ni11 Al8;633;706;1175;8
Zr70 Cu16 Al8 Ni6;641;707;1179;6
Zr70 Ni16 Al8 Cu6;631;705;1205;8
Zr41.2 Ti13.8 Cu12.5 Ni10 Be22.5;623;672;969;50
(Y0.06 Fe0.72 B0.22)98 Nb2;918;980;1411.5;4
(Y0.06 Fe0.72 B0.22) 98 Ta2;917.3;978.8;1415.4;4
Y36 Sc20 Al24 Co10 Ni10;645;731;1010;28
Mm51.2 Al23.2 Cu9.3 Ni9.3 C7;507.7;581.5;985;10
Au52 Pd2.3 Cu29.2 Si16.5;393;427;651;2
Au49 Ag5.5 Pd2.3 Cu26.9 Si16.3;401;459;644;5
Ti50 Cu42.5 Ni7.5;670;708;1226;0.2
Ti47.5 Zr2.5 Cu42.5 Ni7.5;673;720;1225;1.5
Ti42.5 Zr2.5 Hf5 Cu42.5 Ni7.5;677;726;1203;2.5
Ti41.5 Zr2.5 Hf5 Cu42.5 Ni7.5 Si1;680;730;1199;5
(Ti0.45 Cu0.378 Zr0.10 Ni0.072)98 Sn2;650;692;1167;2
(Ti0.45 Cu0.378 Zr0.10Ni0.072)96 Sn4;666;715;1156;2
(Ti0.45 Cu0.378 Zr0.10 Ni0.072)94 Sn6;683;739;1169;1
Ti 30.42 Cu45.26 Ni8.32 Zr7.6 Hf8.4;680;729;1189;4
Ti 32.38 Cu42.34 Ni 9.28 Zr7.6 Hf8.4;482;722;1168;4
Ti 33.36 Cu40.88 Ni9.76 Zr 7.6Hf8.4;679;716;1188;2
